,Unnamed: 0,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,CDC_Name,CDC_Street,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_Name,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,target,Borrgsp,unemploy_bow,unemploy_pro,strdate,SP500,borrCDC,borrthird,borrpro,total,severity,termint,age,CDC_Zip_dm,ThirdPartyDollars_dm,InitialInterestRate_dm,count,diff,target1,target5,age1,age5
23536,29870,5636,5050 W. CARPENTER FWY,3068,45,75063,192,261,183,45,75074,0,0,1,0.0,13.815511557963774,1998-06-23,8,0,2,0.0,240,0,0,376,47,1,PIF,,0.0,0,13.378087026324927,4.883333333333333,4.883333333333333,1998/06/23,7.0215213596892525,1,0,1,1000000.0,0.0,1,5337,0,1,1,1,2794,0,0,3159,4620
35716,49095,4840,15 SOUTH MAIN STREET,4506,6,6776,137,256,60,7,6810,0,0,1,0.0,11.827743504053695,2002-04-05,12,0,2,0.0,240,865,616,804,7,1,PIF,,0.0,0,12.079427204515016,4.308333333333334,4.308333333333334,2002/04/05,7.024408770276746,1,0,1,137000.0,0.0,1,3955,0,1,1,1,1412,0,0,1777,3238
32947,44086,31912,1175 SO. MAIN,2747,46,84032,179,150,210,46,84109,0,0,1,0.0,12.73670383776449,2001-05-08,11,0,2,0.0,240,691,378,1442,48,1,PIF,,0.0,0,11.201319484399074,4.408333333333334,4.408333333333334,2001/05/08,7.1406114703290315,1,0,1,340000.0,0.0,1,4287,0,1,1,1,1744,0,0,2109,3570
40547,59557,23105,602 W RIVER ST,2927,43,57747,26,248,193,43,57701,1077,1490,50,12.69618829048107,12.225880174775124,2003-11-13,14,0,2,0.0,240,1022,426,473,45,2,PIF,,0.0,0,10.296539265604103,3.7166666666666655,3.7166666666666655,2003/11/13,6.9654674604644775,1,1,1,530500.0,0.0,1,3368,0,0,1,1,825,0,0,1190,2651
28256,36758,21156,PINE RIDGE ROAD & I-75,4430,9,34109,140,297,83,10,33919,0,0,1,0.0,13.527829818844936,1999-09-30,9,0,2,0.0,240,0,0,320,10,1,PIF,,0.0,0,13.035322036329415,3.875,3.875,1999/09/30,7.157509571661929,1,0,1,750000.0,0.0,1,4873,0,1,1,1,2330,0,0,2695,4156
44179,69193,39501,1466 MONTGOMERY HWY,520,1,35216,5,46,29,2,35209,1030,651,53,14.62019956048422,14.069378057716214,2005-01-11,15,0,2,0.0,240,1022,426,687,2,1,CHGOFF,2012-03-09,1135213.0,1,11.957427936090731,4.499999999999999,4.499999999999999,2005/01/11,7.076645361016321,1,0,1,3525000.0,0.3220462411347518,1,2614,0,0,1,1,400,0,0,765,2226
32481,43279,4939,9712 BROOKFORD STREET,1068,28,28217,61,58,46,28,28204,0,0,1,0.0,12.962196972666593,2001-03-20,11,2,2,0.0,240,951,521,885,29,1,PIF,,0.0,0,12.573089675259256,5.491666666666667,5.491666666666667,2001/03/20,7.04195394455554,1,0,1,426000.0,0.0,1,4336,0,1,1,1,1793,0,0,2158,3619
32160,42759,17366,101 MAIN STREET,6376,51,54880,294,6,154,50,53716,0,0,1,0.0,13.80242633158633,2001-02-09,11,0,2,0.0,240,501,934,428,53,1,PIF,,0.0,0,12.143879638189905,4.525,4.525,2001/02/09,7.1821697320331825,1,0,1,987000.0,0.0,1,4375,0,1,1,1,1832,0,0,2197,3658
27843,36086,34231,5950 W. HOWARD ST.,6003,15,60076,247,262,49,15,60605,0,0,1,0.0,13.47302165746721,1999-08-24,9,0,2,0.0,240,508,909,337,16,1,CHGOFF,2004-03-30,0.0,1,13.037509162974727,4.366666666666666,4.366666666666666,1999/08/24,7.2185433401483925,1,0,1,710000.0,0.0,1,1680,0,1,1,1,2367,1,1,2732,4193
24133,30721,24965,7611 FAY AVENUE,3340,4,92037,38,146,212,5,92106,0,0,1,0.0,13.527829818844936,1998-08-19,8,0,2,0.0,240,0,0,1218,5,1,PIF,,0.0,0,13.953394738447546,5.95,5.95,1998/08/19,7.002210601682043,1,0,1,750000.0,0.0,1,5280,0,1,1,1,2737,0,0,3102,4563
40918,60493,42945,1664 UNIVERSITY AVE,6225,24,55104,235,197,15,24,55112,0,0,1,0.0,12.75130259456002,2004-01-05,14,0,2,0.0,240,1003,975,1125,25,1,PIF,,0.0,0,12.34706426632344,4.675,4.675,2004/01/05,7.0239548135621925,1,0,1,345000.0,0.0,1,3315,0,1,1,1,772,0,0,1137,2598
15868,19344,24617,4401 SOUTHERN WEBBING MILL,2543,28,27405,239,165,69,28,27701,0,0,1,0.0,12.013706813470414,1996-05-30,6,0,2,0.0,240,1002,160,885,29,1,PIF,,0.0,0,12.224972905030654,4.291666666666667,4.291666666666667,1996/05/30,6.511299482870121,1,0,1,165000.0,0.0,1,6091,0,1,1,1,3548,0,0,3913,5374
2736,3165,40716,ROUTE 16,6053,31,3878,119,321,188,31,3801,0,0,1,0.0,12.061052653810028,1991-12-30,2,0,2,0.0,240,0,0,1318,32,1,PIF,,0.0,0,10.178570589411391,7.291666666666665,7.291666666666665,1991/12/30,6.031021778151997,1,0,1,173000.0,0.0,1,7704,0,1,1,1,5161,0,0,5526,6987
3894,4474,32615,3016 SE DIVISION,5264,38,97202,110,67,218,49,98168,0,0,1,0.0,13.361381852676738,1992-08-24,2,0,2,0.0,240,0,0,943,39,1,PIF,,0.0,0,11.05711345660754,7.374999999999999,7.374999999999999,1992/08/24,6.0203435090871915,0,0,1,635000.0,0.0,1,7466,0,1,1,1,4923,0,0,5288,6749
31900,42357,13075,300 BRECK STREET,5868,39,18505,91,265,178,39,19131,0,0,1,0.0,13.153863982446316,2001-01-05,11,0,2,0.0,120,127,796,752,40,1,PIF,,0.0,0,12.959764915332158,4.8,4.8,2001/01/05,7.1696193999371705,1,0,1,516000.0,0.0,1,4410,0,1,1,1,1867,0,0,2232,3693
2193,2540,19064,"319 TENNESSEE ST, PO BOX 920",4344,28,28786,246,74,266,28,28786,0,0,1,0.0,11.643962499267984,1991-08-29,1,0,2,0.0,240,0,0,265,29,2,PIF,,0.0,0,11.89388269342384,5.808333333333333,5.808333333333333,1991/08/29,5.9851194620640555,1,0,1,114000.0,0.0,1,7827,0,1,1,1,5284,0,0,5649,7110
44575,70260,879,3 INTERSTATE AVENUE,57,35,12205,105,233,5,35,12207,455,439,41,13.161586013632686,12.966880811009805,2005-02-24,15,0,2,0.0,240,662,373,17,36,1,PIF,,0.0,0,13.830445770357453,5.0,5.0,2005/02/24,7.0910762953166335,1,1,1,948000.0,0.0,1,2899,0,0,1,1,356,0,0,721,2182
44807,70886,1113,3889 COBB PARKWAY,22,10,30101,47,272,16,11,30339,1745,1428,32,12.946821188676784,12.765691290604373,2005-03-23,15,2,2,0.0,240,1002,160,307,11,1,CHGOFF,2009-08-28,0.0,1,12.865626847490525,5.324999999999998,5.324999999999998,2005/03/23,7.067771604226568,1,0,1,769500.0,0.0,1,1619,0,0,1,1,329,0,1,694,2155
11999,14408,15819,11377 MARKON DRIVE,2332,4,92641,261,203,215,5,92705,0,0,1,0.0,13.140205260167274,1995-07-21,5,0,2,0.0,240,246,774,1013,5,1,PIF,,0.0,0,13.722932223270822,7.8583333333333325,7.8583333333333325,1995/07/21,6.318283185542962,1,0,1,509000.0,0.0,1,6405,0,1,1,1,3862,0,0,4227,5688
3613,4154,36551,4048 PARKMEAD DRIVE,2561,36,43123,74,306,55,36,43215,0,0,1,0.0,12.250094315624494,1992-07-10,2,0,2,0.0,240,1019,335,497,37,2,PIF,,0.0,0,12.431815216464967,7.358333333333333,7.358333333333333,1992/07/10,6.029771369232348,1,0,1,209000.0,0.0,1,7511,0,1,1,1,4968,0,0,5333,6794
32183,42803,1593,"910 HIGHWAY 99, WEST",1346,4,96021,231,329,63,6,80202,0,0,1,0.0,13.671641342278313,2001-02-13,11,2,2,0.0,240,1022,426,1348,5,1,PIF,,0.0,0,14.140569481237971,5.433333333333334,5.433333333333334,2001/02/13,7.185235526076157,0,0,1,866000.0,0.0,1,4371,0,1,1,1,1828,0,0,2193,3654
25984,33434,40504,450 NE 28TH CT.,5216,9,33064,112,275,122,10,33467,0,0,1,0.0,11.964007453736913,1999-03-03,9,2,2,0.0,240,67,868,169,10,1,PIF,,0.0,0,13.035322036329415,3.875,3.875,1999/03/03,7.113711938993977,1,0,1,157000.0,0.0,1,5084,0,1,1,1,2541,0,0,2906,4367
25289,32428,11382,981-987 ST. HELENA HWY ST.,6208,4,94574,21,101,260,5,94596,0,0,1,0.0,13.04115549117383,1998-12-16,9,2,2,0.0,140,148,1034,952,5,1,PIF,,0.0,0,14.03632660273537,5.233333333333333,5.233333333333333,1998/12/16,7.058706509740659,1,0,1,461000.0,0.0,0,5161,0,1,1,1,2618,0,0,2983,4444
21412,26911,21327,590 NORTH MAIN,2747,46,84032,179,150,210,46,84109,0,0,1,0.0,12.58108198257384,1997-11-10,8,0,2,0.0,240,0,0,1442,48,1,PIF,,0.0,0,11.039594706964932,3.65,3.65,1997/11/10,6.826686216870367,1,0,1,291000.0,0.0,1,5562,0,1,1,1,3019,0,0,3384,4845
9086,10663,44675,398 N.E. 6TH AVENUE,1595,9,33483,112,275,122,10,33467,0,0,1,0.0,11.626263078808801,1994-08-31,4,0,2,0.0,240,699,907,1035,10,1,PIF,,0.0,0,12.698230302029755,6.425000000000002,6.425000000000002,1994/08/31,6.166446715528374,1,0,1,112000.0,0.0,1,6729,0,1,1,1,4186,0,0,4551,6012
41014,60718,44873,"HACIENDAS DEL NORTE,AA-19 C S",6595,40,949,161,144,214,40,918,675,1250,46,13.741145783608921,13.548938754204904,2004-01-15,14,0,2,0.0,240,677,950,1367,41,2,CHGOFF,2008-09-03,726137.0,1,11.29381518158486,10.566666666666668,10.566666666666668,2004/01/15,7.032668433927037,1,1,1,1694332.0,0.4285683089264678,1,1693,0,0,1,1,762,0,1,1127,2588
20661,25868,3229,715 N. BUTTE AVENUE,1946,14,83617,46,45,30,14,83702,0,0,1,0.0,11.686887175419702,1997-08-20,7,0,2,0.0,240,0,0,520,15,1,PIF,,0.0,0,10.319322045596216,5.141666666666668,5.141666666666668,1997/08/20,6.8462521208656755,1,0,1,119000.0,0.0,1,5644,0,1,1,1,3101,0,0,3466,4927
33598,45193,30437,2550 E. MIRALOMA WAY,133,4,92802,261,203,215,5,92705,0,0,1,0.0,12.560247968016563,2001-07-16,11,2,2,0.0,240,67,868,1013,5,1,PIF,,0.0,0,14.140569481237971,5.433333333333334,5.433333333333334,2001/07/16,7.092947670151499,1,0,1,285000.0,0.0,1,4218,0,1,1,1,1675,0,0,2040,3501
16447,20111,5401,HOFF ROAD,7130,36,43081,74,306,55,36,43215,0,0,1,0.0,12.468440756144116,1996-07-12,6,0,2,0.0,240,0,0,497,37,1,PIF,,0.0,0,12.647937504436646,4.991666666666666,4.991666666666666,1996/07/12,6.4726399175409055,1,0,1,260000.0,0.0,1,6048,0,1,1,1,3505,0,0,3870,5331
7678,8944,34831,"RD 848 KM. 3.2, SAINT JUST",946,40,979,191,148,214,40,918,0,0,1,0.0,13.725586944527592,1994-04-06,4,0,2,0.0,240,201,1048,221,41,1,PIF,,0.0,0,10.588895613212996,14.508333333333333,14.508333333333333,1994/04/06,6.107134213393876,1,0,1,914000.0,0.0,1,6876,0,1,1,1,4333,0,0,4698,6159
3427,3946,49016,374 TROUTMAN STREET,711,35,11206,105,233,5,35,12207,0,0,1,0.0,12.031725210748633,1992-06-08,2,0,2,0.0,300,0,0,733,36,1,PIF,,0.0,0,13.161016429468534,8.6,8.6,1992/06/08,6.0267351249894965,1,0,1,168000.0,0.0,1,7543,0,1,1,1,5000,0,0,5365,6826
36142,49967,20003,P. O. BOX 756,2338,34,89410,184,88,125,34,89144,0,0,1,0.0,12.771389295485289,2002-06-04,12,2,2,0.0,240,910,1016,428,35,1,PIF,,0.0,0,11.347278117660668,5.616666666666666,5.616666666666666,2002/06/04,6.948599616612783,1,0,1,352000.0,0.0,1,3895,0,1,1,1,1352,0,0,1717,3178
31500,41709,860,8590 FAIRVIEW AVE,587,14,83704,46,45,30,14,83702,0,0,1,0.0,12.641099792120599,2000-11-09,11,0,2,0.0,240,962,721,4,15,1,PIF,,0.0,0,10.529027508300038,5.091666666666667,5.091666666666667,2000/11/09,7.245041480672455,1,0,1,309000.0,0.0,1,4467,0,1,1,1,1924,0,0,2289,3750
